tconst,averageRating,numVotes
tt0204382,7.2,32
tt0204619,4.7,76
tt0204626,5.3,27067
tt0204640,6.7,3134
tt0204679,5.8,17
tt0204698,7.4,42
tt0204700,5.9,8007
tt0204885,5.7,91
tt0204932,7.3,3785
tt0204933,4.4,156
tt0204946,6.1,94797
tt0205177,5.6,13368
tt0205271,4.7,19575
tt0205380,4.0,170
tt0205418,2.9,2817
tt0205461,4.1,4300
tt0205498,6.0,217
tt0205526,3.7,173
tt0205729,3.8,52
tt0205778,6.5,81
tt0205873,7.2,16260
tt0205936,5.1,239
tt0206075,3.4,571
tt0206088,6.2,342
tt0206098,6.8,65
tt0206113,6.3,1436
tt0206184,4.9,296
tt0206211,7.6,10
tt0206223,4.1,143
tt0206226,6.0,6055
tt0206275,6.2,61289
tt0206314,6.6,68496
tt0206367,5.0,1153
tt0206420,5.3,10452
tt0206545,7.4,61
tt0206608,6.2,184
tt0206634,7.9,490874
tt0206694,6.7,48
tt0206742,6.4,2098
tt0206762,6.2,1456
tt0206778,6.5,68
tt0206917,6.1,15251
tt0206926,5.6,5896
tt0206963,7.2,5631
tt0207036,5.1,656
tt0207161,5.6,1422
tt0207163,6.3,482
tt0207198,6.7,3665
tt0207201,6.4,204935
tt0207333,5.1,854
tt0207337,4.2,29
tt0207377,4.6,882
tt0207501,4.1,45
tt0207524,6.8,3547
tt0207585,5.8,716
tt0207631,4.4,650
tt0207635,6.3,61
tt0207638,5.7,129
tt0207745,4.4,249
tt0207988,6.0,406
tt0208003,5.2,84834
tt0208017,7.7,43
tt0208037,4.6,407
tt0208050,5.5,388
tt0208092,8.3,834008
tt0208196,7.2,9839
tt0208204,4.7,115
tt0208298,7.1,1575
tt0208412,6.8,32
tt0208491,4.6,752
tt0208874,6.9,23971
tt0208883,6.1,100
tt0208889,7.0,66
tt0208899,5.4,179
tt0208910,7.9,22
tt0208911,6.3,1927
tt0208942,4.3,178
tt0208988,5.1,34335
tt0208990,7.3,19840
tt0208993,6.9,1394
tt0209020,4.4,74
tt0209037,6.9,3247
tt0209077,5.8,29682
tt0209109,4.9,680
tt0209144,8.5,1203319
tt0209163,6.4,317985
tt0209180,8.1,4549
tt0209253,4.2,76
tt0209279,5.3,167
tt0209322,6.3,3410
tt0209475,5.3,80330
tt0209486,4.8,452
tt0209941,6.1,87
tt0209958,6.4,101674
tt0210065,6.7,13892
tt0210070,6.8,46334
tt0210075,6.7,11015
tt0210094,5.3,2751
tt0210149,6.0,702
tt0210223,4.8,216
tt0210299,7.2,3493
tt0210357,6.5,256
tt0210358,6.4,7030
tt0210362,6.0,277
tt0210382,5.8,9495
tt0210470,6.7,66
tt0210567,5.5,4050
tt0210584,6.1,2388
tt0210616,6.6,21450
tt0210756,6.0,425
tt0210776,5.9,40
tt0210816,4.8,181
tt0210930,5.2,239
tt0210945,7.8,210903
tt0210952,5.6,92
